Array,	Recursion, 	Time (millisec)
10,	 2,		2062457
10,	 4,		21509
10,	 6,		18336
10,	 8,		15162
10,	 10,		16573
12,	 2,		26094
12,	 4,		23273
12,	 6,		19394
12,	 8,		46193
12,	 10,		20452
14,	 2,		31735
14,	 4,		55361
14,	 6,		25035
14,	 8,		28210
14,	 10,		13752
16,	 2,		18336
16,	 4,		15868
16,	 6,		15868
16,	 8,		14105
16,	 10,		15515
18,	 2,		29973
18,	 4,		14457
18,	 6,		17631
18,	 8,		16926
18,	 10,		16220
20,	 2,		26093
20,	 4,		21157
20,	 6,		25389
20,	 8,		20099
20,	 10,		19042
22,	 2,		34556
22,	 4,		23978
22,	 6,		20452
22,	 8,		28915
22,	 10,		20452
24,	 2,		33146
24,	 4,		25389
24,	 6,		27856
24,	 8,		27151
24,	 10,		26799
26,	 2,		34909
26,	 4,		34557
26,	 6,		87449
26,	 8,		22920
26,	 10,		22215
28,	 2,		22920
28,	 4,		22568
28,	 6,		23978
28,	 8,		21157
28,	 10,		21157
30,	 2,		26094
30,	 4,		22920
30,	 6,		23273
30,	 8,		21510
30,	 10,		23978
32,	 2,		51129
32,	 4,		32794
32,	 6,		23978
32,	 8,		25036
32,	 10,		25741
34,	 2,		25389
34,	 4,		71229
34,	 6,		238722
34,	 8,		22920
34,	 10,		19394
36,	 2,		25741
36,	 4,		21157
36,	 6,		19747
36,	 8,		18689
36,	 10,		18336
38,	 2,		27152
38,	 4,		110722
38,	 6,		34556
38,	 8,		16221
38,	 10,		17631
40,	 2,		25036
40,	 4,		21509
40,	 6,		22568
40,	 8,		16573
40,	 10,		15163
42,	 2,		27152
42,	 4,		20099
42,	 6,		16573
42,	 8,		16220
42,	 10,		17279
44,	 2,		27152
44,	 4,		22567
44,	 6,		20452
44,	 8,		17631
44,	 10,		16220
46,	 2,		33146
46,	 4,		23625
46,	 6,		21863
46,	 8,		21510
46,	 10,		19394
48,	 2,		35262
48,	 4,		22920
48,	 6,		22920
48,	 8,		22214
48,	 10,		20099
50,	 2,		32440
50,	 4,		23273
50,	 6,		23978
50,	 8,		18336
50,	 10,		20452
